RCP_SNO,RCP_TTL,CKG_NM,RGTR_ID,RGTR_NM,INQ_CNT,RCMM_CNT,SRAP_CNT,CKG_MTH_ACTO_NM,CKG_STA_ACTO_NM,CKG_MTRL_ACTO_NM,CKG_KND_ACTO_NM,CKG_IPDC,CKG_MTRL_CN,CKG_INBUN_NM,CKG_DODF_NM,CKG_TIME_NM,FIRST_REG_DT,RCP_IMG_URL
7026177,NO만두피  글루텐 프리~ 저탄수 굴림 만두 / 닭가슴살 굴림 만두& 김치 굴림만두,굴림만두,69454896,바른생활미미씨,427,0,2,찜,일상,닭고기,면/만두,어릴때 엄마와 함께 만들어 오손도손 먹었던 투박한 그 손만두 맛이 그리울 때가 있습니다. 굴림 만두는 만두피가 필요하지 않아서  만들기도 더 쉽고 재료 본연의 맛을 느낄 수 있는 건강 만두입니다. 깔끔하고 건강한 맛~ 글루텐 프리 저탄수 굴림 만두인~ 담백한 닭가슴살 굴림만두& 매콤한 닭가슴살 김치 굴림만두를 소개합니다. ,[재료: 3~4인분] 닭 가슴살 300 g | 두부 300 g (1모)| 표고버섯 7 개 | 부추 다진거 1 컵 | 당근 다진거 1 컵 | 다진 양파& 파 1 컵 | 다진 마늘 2 T | 다진 묵은 김치 1/2 컵 | 계란 2 개 | 소금   | 후추  약간 | 진간장 1 T | 오트밀가루   | 고구마 전분 1   [만두 간장 양념] 양조간장 1  | 식초 1.5  | 고춧가루   ,4인분,초급,2시간이내,20240512232511,https://recipe1.ezmember.co.kr/cache/recipe/2024/05/09/3e460606daf6dca1fcea3581d1d1709d1.jpg
7026178,닭가슴살 베이글 샌드위치 ,베이글샌드위치,30810305,요리조이,417,0,3,굽기,일상,닭고기,빵,맛있는 베이글 샌드위치 입니다 ,[재료] 닭가슴살 1 조각 | 베이글 1 개 (시나몬맛)| 토마토 1/2 개 | 오이 1/6 개  [양념] 소스   ,1인분,초급,10분이내,20240512234549,https://recipe1.ezmember.co.kr/cache/recipe/2024/05/12/cc66fd22bb9b17fa624a660ba71ab0341.jpg
7026179,배숙 만드는법 배꿀찜 레시피,배숙,ranch6356,반이짝이,816,0,2,찜,기타,과일류,기타,환절기에 감기 예방에 좋은 배숙 배꿀찜을 만들어 보았어요 :),[재료] 배 1 개 | 대추 3 알 | 생강 10 g | 계피 1 조각 | 꿀 2 큰술 ,1인분,초급,60분이내,20240513003204,https://recipe1.ezmember.co.kr/cache/recipe/2024/05/13/02e6bac295efe7790e069a415ce96ca31.png
7026180,가지무침 ,가지무침,30810305,요리조이,151,0,2,무침,일상,채소류,밑반찬,밥반찬으로 만들었어요 ,[재료] 가지 3 개 | 대파 2 개 | 청량고추 2 개  [양념] 국간장 2 T | 진간장 1 T | 다진마늘 1 T | 깨 1 T ,5인분,초급,15분이내,20240513003822,https://recipe1.ezmember.co.kr/cache/recipe/2024/05/13/ba072fccdeef217d09e3076bc325ca071.jpg
7026181,포두부요리  건두부면 먹는법! 건두부무침  두부비빔면 만들기,두부비빔면,kkokkobook,꼬꼬부기,1380,0,8,비빔,일상,기타,면/만두,요즘 꾸준히 다이어트요리를 만들고 있는데요. 오늘은 다이어트에 좋은 음식으로 유명한 포두부요리를 만들어 보았어요. 맛있는 고추장 양념으로 건두부무침을 만들어 보았어요.,[재료] 두부면 100 g | 오이 1/2 개 | 고추장 2 T | 진간장 1 T | 다진마늘 0.3 T | 설탕 1.5 T | 식초 1 T | 들기름 1 T | 물 1 T ,1인분,초급,15분이내,20240513010603,https://recipe1.ezmember.co.kr/cache/recipe/2024/05/13/666eaa7bcc58a2da4307e601e17269241.jpg
7026182,밥 한공기로 부족해요!! 제철 간장게장 맛있게 담그는법 간장게장 황금레시피,간장게장,kjo2456,김진옥요리가좋다,14841,0,64,절임,일상,해물류,밑반찬,밥 한공기로 부족해요!! 제철 간장게장 맛있게 담그는법 간장게장 황금레시피,[재료] 꽃게 2 kg (암게)| 대파 1 개 | 양파 1 개 | 통마늘 20 개 | 생강 5 토막 (마늘크기)| 통후추 1 T | 황기 3 조각 (소량없으면 생략가능)| 멸치다시마 육수 1500 ml | 물 1 L | 간장 1 L | 소주 250 ml | 매실청 250 ml | 레몬 1 개 (생략가능) [고명 재료] 양파 1 개 | 통마늘 5 개 | 청양고추 5~6 개 | 홍고추 2 개 (생략가능),,초급,,20240513075916,https://recipe1.ezmember.co.kr/cache/recipe/2024/05/13/cfac8c087f72e4ed83fdc50cfcb6b3381.jpg
7026183,[숙주쫄면] 다이어터를 위한 저칼로리 숙주쫄면,숙주쫄면,93451839,싱글의한끼,160,0,2,끓이기,일상,기타,면/만두,쫄면 좋아하시죠? 쫄깃한 면발과 아삭하게 씹히는 채소를 매콤한 초고추장에 비비면 기가 막히죠. 정말이지 식이섬유 가득한 채소와 곁들여 먹는 비빔면 요리 중에 쫄면만한 것도 없는 것 같아요. 이름 그대로 면발의 쫄깃한 면의 식감과 매콤한 양념이 세대불문 사랑받을만 하죠. 그럼에도 불구하고 다이어터들에게 '면'은 다소 부담스러운데요  그래서 면을 대폭 줄이고 숙주를 더해 포만감은 늘리고 칼로리는 낮췄어요 :) 이 숙주 쫄면은 진짜 많이 드셔도 칼로리는 ½에 풍부한 식이섬유로 변비 예방도 된답니다. 그럼 저 신디가 추천하는 숙주쫄면 함께 만들어보실까요?,[재료] 쫄면   | 숙주 100 g | 계란 1 개 (또는 메추리알)| 채소   | 김   | 참기름    [양념장] 고추장 1 tbsp | 고춧가루 1 tsp | 식초 1 tsp | 설탕 1 tsp | 마늘 1 개 | 통깨   ,1인분,초급,15분이내,20240513075949,https://recipe1.ezmember.co.kr/cache/recipe/2024/05/11/9adbc2e12d2c698e27d10e2a070c42b31.jpg
7026184,케일양배추피클 체중감소에 도움되는 건강채소 맛있게드세요 ,케일양배추피클,80802273,아임레시피,231,0,5,절임,일상,채소류,밑반찬,세계 3대 면역식품으로 꼽히는 케일은 녹황색 채소와 비교했을때  칼슘양이 월등히 높다고 합니다 칼슘 함량이 높은 우유와 멸치에 견주어도 손색없는 케일 하루 적당한 권장섭취량으로 뼈건강과 체중감소  지방감소까지 도움을 준다고 하니.. 건강에 좋은 케일 이렇게 드세요!,[재료] 양배추 200~300 g | 케일 20~25 장  [양념 재료] 물 2 컵 (400ml)| 설탕 1/2 컵 (100ml)| 굵은소금 1~2 큰술 | 식초 1/2 컵 (100ml),3인분,아무나,10분이내,20240513081545,https://recipe1.ezmember.co.kr/cache/recipe/2024/05/13/7d5d456d4ead454df8b8eefefcd793221.jpg
7026186,간편하고 맛있는 홈메이드 양배추 피클  로즈마리 향의 매력,양배추피클,62929808,푸드디렉터요알남,520,0,1,절임,일상,채소류,밑반찬,로즈마리 넣어서 만드는 양배추 피클입니다. ,[재료] 로즈마리 10 g | 양배추 300 g | 소금 10 g | 자일로스 설탕 20 g | 식초 70 ml | 사이다 300 ml | 라임즙 2 숟가락 ,6인분이상,아무나,30분이내,20240513085035,https://recipe1.ezmember.co.kr/cache/recipe/2024/05/04/a817baddcae5f5f7d44b3870de67f8351.jpg
7026187,상추 물김치 담그는 법 여름 물김치 만드는 법,상추물김치,33866137,동그랑,2395,0,4,기타,일상,채소류,김치/젓갈/장류,요즘 많이 나오는 상추로 상추 물김치 만들었어요,[재료] 상추 800 g | 무 300 g | 양파 1/2 개 | 건 대추 5 개 | 생수 2 L  [상추 절일 때] 물 2 L | 소금 1/2 컵 | 식초 2 큰술  [찹쌀 풀] 물 1 컵 (200ml)| 찹쌀가루 2 큰술  [갈아줄 재료| 양념] 사과 1/2 개 | 양파 1/2 개 | 홍고추 5 개 | 마늘 15 개 | 생강 10 g | 까나리 액젓 5 큰술 | 새우젓 1 큰술 | 소금 1 큰술 | 설탕 2 큰술 | 물 1 컵 | 찹쌀풀   ,6인분이상,초급,60분이내,20240513085130,https://recipe1.ezmember.co.kr/cache/recipe/2024/05/13/838c9f6d61f6f583ec5ace5a973763991.jpg
7026188,왕고들빼기김치 레시피와 효능,왕고들빼기김치,60591953,텃밭아작고요리,2316,0,0,무침,일상,채소류,메인반찬,옆 밭 사장님이 옮겨 심으려면 캐 가라고 해서 뿌리는 우리 밭에 옮겨 심고 잎으로 김치를 담는 방법입니다. 뿌리와 잎 모두 먹을 수 있으며  쌉싸름한 맛이 식욕을 부릅니다. 담아서 바로 먹어도 되고  익혀 먹어도 좋아요.,[왕고들빼기김치 재료] 왕 고들빼기 잎 139 g (절인후 물기짠무게)| 물 잠길정도   (절임용)| 굵은소금 3 숟가락 (절임용)| 고춧가루 2 숟가락 | 다진마늘 1 숟가락 | 설탕 1 숟가락 | 액젓 1 숟가락 | 굵은소금 1 꼬집 ,4인분,초급,2시간이상,20240513085753,https://recipe1.ezmember.co.kr/cache/recipe/2024/05/13/5799d87becf946f8136611991b1d5f451.jpg
7026189,#통오징어찜요리 #새우껍질요리 #해물라면만들기 #새우껍질육수 #남은콩나물국활용 #찐국,해물라면,kstencil,강철새잎,336,0,1,끓이기,일상,해물류,면/만두,안성탕면의 기본맛만 있는 것이 아니라  해물안성탕면이 있다라는 것 아실까 모르겠네요.  면발은 굵지 않고 적당하면서도 스프맛은 맵지 않고요. 맵지 않은 된장맛의 순한디안성탕면도 있지만서도 이번에 선택한 라면은 해물안성탕면입니다.  거기에 살짝만 쪄 준 통오징어찜과 새우를 넣어서 끓여낸 해물라면인데~~ 육수가 기가막힙니다.  그 육수재료는 조개멸치육수로 끓여내고 새우젓으로 간을 한 콩나물국과 함께 새우껍질을 넣어서 만들었습니다. 진하디진한 맛의 해물육수입니다.  거기에 통오징어찜에서 나오는 내장까지 합쳐지니~~~ 진정 찐한 국물맛의 해물라면입니다.,[재료] 해물안성탕면 2 개 | 떡국떡  원하는만큼 | 통 오징어 찜 1 마리 | 새우 3 마리 | 썬파 1 큰술 | 콩나물 냉국 500 ml | 새우 껍질 5 마리 | 계란 1 개 | 물 150 ml ,2인분,아무나,30분이내,20240513090757,https://recipe1.ezmember.co.kr/cache/recipe/2024/05/13/e53d84882f0ad60618b98eadd9a20d3c1.jpg
7026190,참나물 무침 만드는 법 참나물 요리,참나물무침,mkts5867,빵식이,581,0,7,무침,영양식,채소류,밑반찬,참나물 제철은 8~9월이지만 제철이 아니여도 맛있어서 종종 시장에 가면 데려오는 나물이에요,[재료] 참나물 250 g | 소금 0.5 T (데칠 때) [양념] 다진마늘 0.5 T | 멸치액젓 0.5 T | 참기름 1 T | 통깨 0.5 T ,2인분,아무나,10분이내,20240513095447,https://recipe1.ezmember.co.kr/cache/recipe/2024/05/13/7d57ac4739996c49dea9e28be263da9d1.jpg
7026191,유아식 ) 카레우동~ 아이들이 엄청 좋아하는 면요리,카레우동,74418590,유주니네cooking,209,0,2,비빔,이유식,가공식품류,면/만두,아이들도 좋아하고 어른도 좋아하는 카레우동 아이가 라면 찾을때 만들어주연 좋은 면요리~,[재료] 카레 1 봉 (순한맛 100g)| 양파 1 개 | 감자 2 개 (중)| 당근  조금 | 애호박  조금 | 물 700 ml | 우동면 1 개 (냉동),1인분,아무나,30분이내,20240513100343,https://recipe1.ezmember.co.kr/cache/recipe/2024/03/25/9023f41e237eaeaa8b8af8a15f3d4e771.jpg
7026192,진미채볶음 ) 단짠단짠 밥도둑!!! 간장으로 볶는 간장일미볶음 ,진미채볶음,74418590,유주니네cooking,364,0,4,볶음,초스피드,가공식품류,밑반찬,단짠단짠 맛있는 밥 반찬!!! 아이들도 먹을수있게 간장으로 만든 진미채!!,[재료] 진미채 150 g  [양념] 마요네즈 1.5 큰술 | 간장 2 큰술 | 꿀 1.5 큰술 | 미림 1 큰술 | 다진마늘 1 큰술 | 깨 1 큰술 ,2인분,초급,30분이내,20240513100411,https://recipe1.ezmember.co.kr/cache/recipe/2023/12/09/9ee5730fd75362cf689642947a114e591.jpg
7026193,감자에그샐러드 뚱 샌드위치 만드는 법 간단하게 감자 삶는 법,감자에그샐러드샌드위치,41426574,홈메이커,324,0,1,삶기,간식,채소류,빵,아이들 간식으로 감자에그샐러드 샌드위치를 만들어 봤어요. 특별히 샌드위치 속을 가득 넣고 뚱샌드위치버전으로 만들었습니다. ^^,[재료: 샌드위치 5개 분량] 식빵 10 장 | 감자 388 g | 달걀 5 개 | 양상추    [양념] 마요네즈 4 T | 소금 1/2 t | 올리고당 1 t | 홀그레인머스타드   (또는 머스터드소스),5인분,초급,60분이내,20240513101641,https://recipe1.ezmember.co.kr/cache/recipe/2024/05/13/64cbfe0c39e3bbbef4b04d9fb4ed3b491.jpg
7026194,오징어볶음 황금레시피 오징어볶음 양념 소스 만들기,오징어볶음,45708244,신블리mom,2896,0,38,볶음,술안주,해물류,메인반찬,냉동오징어로 만든 오징어볶음 입니다 오징어는 해동하기가 쉬워 급하게 요리를 해야할때 좋아요~,[재료] 오징어 1 마리 (대 사이즈)| 양배추 1 종이컵 | 양파 1/2 개 | 대파 1 대 | 청양고추 1 개 | 홍고추 1 개  [양념] 식용유 2~3 스푼 (또는 오일)| 고추장 2 스푼 | 고춧가루 2 스푼 | 진간장 2 스푼 | 후추  약간 | 맛술 3 스푼 (또는 미림)| 다진마늘 1 스푼 (듬뿍)| 설탕 1~2 스푼 (또는 알룰로스)| 통깨 1 스푼 | 건조 생강 2 알 (또는 다진생강 1/2스푼),3인분,초급,30분이내,20240513105318,https://recipe1.ezmember.co.kr/cache/recipe/2024/05/13/9e7d559176b5a46248289bc8de58dd0c1.jpg
7026195,바삭 석쇠 불고기( 언양식 불고기 ) 레시피 /캠핑 요리 ,바삭석쇠불고기,41426574,홈메이커,834,0,1,굽기,일상,소고기,메인반찬,오랜만에 아이들이 좋아하는 석쇠 불고기를 만들어 봤어요.언양식 불고기로 얇은 불고깃감을 양념에 재우고 바삭하게 숯불에 구운 불고기입니다.^^ 캠핑요리도로 좋아요. 숯불이 안될 때는 팬에 구워 줘도 맛있어요.,[재료] 소고기 불고깃감 1 kg  [불고기 양념] 진간장 80 ml | 다진 마늘 4 T | 설탕 2 T | 올리고당 1 T | 미림 2 T | 참기름 2 T | 통깨 2 T | 후추 20 바퀴 | 사과 1 개 (중 사이즈)| 양파 1/2 개 (중 사이즈)| 키위 1/4 개 ,6인분이상,초급,60분이내,20240513110351,https://recipe1.ezmember.co.kr/cache/recipe/2024/05/13/b17633c53d499cf97ab3b1256eca68091.jpg
